Q08967	P38214
Q08955	P37302
P40557	P29055
P38072	P24869
Q08498	P29055
P53220	P38064
O13566	Q03083
P38726	P29055
P38727	P29055
P38185	P50874
P41800	Q12453
Q08955	P51534
P38881	P53632
P53751	P41939
P38778	Q08446
Q07451	Q02931
Q07811	P38996
P21592	P40040
Q06170	Q12417
O13518	P32841
P38363	Q02875
P53039	Q02891
P53093	Q02891
Q03860	Q02891
P21825	P25635
Q08902	P87288
P53633	Q02866
P40365	Q02724
P25354	Q02724
P14180	Q02724
P23968	P46367
Q08207	Q12507
Q08417	Q08754
P38969	P38632
P47153	Q08754
P50088	Q08754
Q08750	P07244
Q08743	Q04636
P14020	Q12305
Q08741	P04802
Q99332	Q08729
P36062	Q08729
P27825	P07807
P40549	P32490
P36032	Q12283
P36125	P38934
Q12013	Q12246
P32612	Q12330
Q08533	Q08949
P39010	P01119
Q12289	P16861
Q12324	P11746
P42840	Q08492
Q08215	Q08491
P43548	Q08491
P41834	Q12199
P41834	P50264
Q12078	Q92331
Q08448	Q04329
Q08448	P39970
Q12023	P20449
P32466	Q02794
P38220	P20449
P39010	P12611
P25584	P38909
P54867	Q03667
P36044	P25036
Q12333	P43554
P53842	Q08270
P37267	P53632
Q12215	Q08108
Q12215	P47128
Q08240	P38722
P33311	Q12039
Q99332	Q08204
Q08144	Q03790
Q08144	P43547
Q04562	Q08118
Q12006	Q01684
P52924	Q07804
P27514	P38147
P42839	P32478
P43552	P32452
P53633	Q02821
Q06686	P41812
Q06169	Q02821
Q04121	P38439
Q12396	Q08270
P53108	Q02891
Q12256	P39975
P38310	Q08474
Q12443	Q08227
P53730	P38326
Q03860	Q02724
P54862	Q08754
P38079	Q12320
P38967	P50947
Q12239	P28777
Q99332	Q05080
P32854	Q12417
P19657	O13519
P53343	Q08754
Q04947	Q12305
Q06127	Q08729
P40519	Q08729
P39103	Q12415
Q12274	P25087
Q08269	P39002
P47069	Q12366
P33338	Q02629
P53882	Q12107
Q03824	Q07418
P37296	P39076
P33300	Q06208
P53895	P21264
O13567	P36224
Q03687	Q04432
P43549	P38987
Q03860	Q02821
P53950	P38164
P41948	P40024
P28496	P53930
P43682	P53934
P38875	P53934
P53507	P42223
P53343	P36224
P38428	P53009
P20107	P48164
P28626	P11745
P38728	Q05670
P53093	Q03655
Q03236	Q05942
P43536	Q03818
P43562	Q03818
Q03795	Q07418
Q12016	Q03790
P40073	Q03790
P28626	Q04924
Q02795	Q12192
Q02795	P39711
Q12232	P18961
P04710	Q07807
Q12516	P46671
Q12057	Q02630
P52923	Q02630
P40169	Q02630
Q03798	Q02630
P41698	Q02630
Q06159	Q02630
O13543	Q02630
P25385	Q02630
Q08023	Q02630
P36032	Q02630
P47026	Q02630
Q04734	P07271
P53116	P23639
P38969	P54838
P38728	Q02630
P38703	Q02630
Q04969	P22517
Q03697	Q12202
Q03707	Q03406
P32500	Q12134
P32500	P53204
Q03446	P32939
P41733	P07279
Q02889	Q06208
P40074	Q02630
P13587	Q02630
P11710	Q02630
P38220	Q02630
P38124	Q02630
P38173	Q02630
P40056	P40202
Q03322	Q04364
Q12359	Q03677
P47069	P32562
Q12746	Q03790
Q12746	Q01519
P23642	P53330
O13567	P23639
P39010	P23292
P53507	Q06406
Q06169	Q03790
P53882	Q12434
Q03579	Q03790
Q03579	P11433
Q03691	P40555
Q03880	Q99257
Q12396	P07246
P53747	Q02630
P53633	P38987
P38868	P53883
Q03673	P17119
Q03913	P53890
P53932	P38885
P35180	P53976
P12683	Q08503
P12683	P53718
Q04969	P38316
Q04697	P40582
P53956	P32796
P53752	Q06208
Q05934	P40210
Q05934	P47041
P36027	Q06178
P25354	Q02574
P27514	Q06208
P53584	Q06208
P53979	Q06208
Q06417	Q06208
P53247	Q06208
P32854	P32366
P42838	P32366
Q06563	Q06208
P40533	Q06208
P43553	Q06208
P25619	Q06208
P38166	Q06208
P32900	P05739
P39107	P32366
Q08428	P32366
Q04767	P32366
P36169	P32366
Q02203	P32366
P46965	P32366
P40885	P32366
Q12063	P32366
P25346	P32366
P36112	P41057
Q05934	P25042
Q05934	P37366
Q05934	Q02873
Q05934	P54113
Q05934	P35736
Q05934	Q06674
Q05934	P35198
Q05934	P39517
Q05934	P23594
Q05934	P25591
Q05934	P38126
Q05934	P38170
Q06485	P38803
P33328	P49954
P36029	Q06137
O94085	P43558
O94085	P25627
O94084	P28004
P33328	P49167
P40504	P49167
O13554	P38177
P53154	Q06703
P08004	P19414
P53825	Q12349
P53845	Q12349
P40169	Q12349
Q03218	Q12349
Q03673	Q12349
Q03707	Q12349
P32802	Q12349
P40365	Q12349
P40452	Q12349
P40476	Q12349
Q04100	Q12349
Q06676	Q12349
Q12135	Q12349
O13543	P32603
Q12057	Q02574
Q12324	Q02574
P53896	Q02574
P49334	Q02574
P53979	Q02574
Q12155	Q02574
P36057	Q02574
P34251	Q02574
P36092	Q02574
P23641	Q02574
P47040	Q02574
P38868	Q02574
P38865	Q02574
P45820	Q02574
P38307	Q02574
P38269	Q02574
P13181	Q06151
P22214	P25301
Q05637	Q06150
Q05934	P48581
Q99332	Q12349
P40557	Q12349
Q06417	P32366
P23500	Q02574
Q03697	Q06208
P38745	Q06208
Q05934	P30624
P25338	Q12349
P39006	P32366
Q03263	P18496
Q05934	P29509
Q12164	Q02574
Q05934	P40917
P22804	Q12349
P29704	Q06208
P32837	Q06208
Q08428	Q06412
Q05934	Q03792
Q05934	P23285
Q05934	Q00362
Q05934	P33891
P53633	Q06142
P38842	Q12349
Q05934	Q04659
P40309	Q05776
P38127	P40051
P53053	P52891
P36137	P38854
Q06451	P38354
P38361	Q12367
P38361	Q04502
P14180	P25562
P25376	P40582
P25568	Q03677
Q06551	P47174
Q06148	P00925
Q06148	P37263
Q12144	P14291
Q06538	P38768
Q05998	P54858
P32378	Q05946
Q02725	P32335
Q06247	P87271
P53507	P11163
P53631	P43321
Q12077	P05754
Q08913	P16467
P39012	P40582
P39012	P38693
P32802	Q12493
P25385	P47113
P25385	P05738
P32353	P18562
P42836	Q07967
Q07881	Q04751
P36169	Q12154
P38179	P22515
P38962	P32463
Q08232	P36068
P38220	P36068
P38723	P32364
P39996	P35725
P32612	P36108
P40030	P36108
P40027	P36108
P87280	P36108
P38341	P36108
P38264	P36108
P05316	P21264
P53862	P38073
P38227	P32604
P38079	Q03940
P54862	P38237
P38362	P38238
P50087	P38238
P23968	P38238
P38240	P30624
P53584	P27654
P53390	P27654
P38084	P32324
P38085	Q08245
Q08905	P38109
P38253	P40095
P36173	P00635
P46956	P38260
Q12121	P38115
Q12374	P38288
P38374	P39102
P33754	P25375
P38301	P32838
P38757	P13712
P43682	P38308
P38310	P13856
Q03730	P37292
P38343	Q12311
P40556	P27344
P25619	P40363
P47161	P25623
P25628	P37261
P25365	P53887
P36081	P25651
Q06200	P32828
P39996	P52290
Q12352	P40562
Q12473	P10849
Q12382	P50112
Q12066	P25651
Q12066	P40582
Q12066	P25087
Q07549	Q07530
P25573	P52891
P25594	P52891
P47087	P10622
P53842	P04050
Q07541	Q12154
P13181	P14741
P38374	Q03759
P38127	P38288
P53918	P21304
P80667	Q12110
P38247	P42936
P37265	P25364
Q07541	Q04951
P38342	O13574
Q06567	P25349
Q12530	P38897
Q01590	P22213
P40857	P38238
P38244	P07246
P38325	P38903
Q03697	P33757
Q07865	P33317
P47153	P38334
P37265	Q00245
P37265	Q00618
P38342	P25612
Q99385	P34249
Q01590	P40582
P53928	P47135
Q12325	P47135
P25587	P47135
P13090	P40971
Q05359	P47135
Q12016	P35197
Q99393	P47135
P38225	Q12136
P39982	P47164
Q03904	P38627
O13568	P47135
O13567	P47135
Q06107	P47135
P53394	P47135
P33311	P47135
